l,volume,execution_time,provider,model_id,reasoning_effort,total_score,total_max_score,question_count,completeness,input_tokens,output_tokens,total_tokens,total_latency_ms,input_cost_usd,output_cost_usd,total_cost_usd,total_cost_jpy
1,167,2026-02-04 14:32:57,OpenAI,gpt-5.2,high,72.0,100.0,9/9,100%,21477,86444,107921,1499138,0.0376,1.2102,1.2478,193.41
2,167,2026-02-04 14:58:41,OpenAI,gpt-5.2,high,72.0,100.0,9/9,100%,21477,74929,96406,1850929,0.0376,1.049,1.0866,168.42
3,167,2026-02-05 13:12:50,OpenAI,gpt-5.2,high,73.0,100.0,9/9,100%,21477,74818,96295,1328266,0.0376,1.0475,1.085,168.18
4,167,2026-02-05 13:35:44,OpenAI,gpt-5.2,high,73.0,100.0,9/9,100%,21477,74698,96175,1362290,0.0376,1.0458,1.0834,167.92
5,167,2026-02-07 04:05:23,OpenAI,gpt-5.2,high,71.0,100.0,9/9,100%,21477,105176,126653,1741888,0.0376,1.4725,1.51,234.06
6,167,2026-02-07 04:43:11,OpenAI,gpt-5.2,high,63.0,100.0,9/9,100%,21477,72434,93911,1220832,0.0376,1.0141,1.0517,163.01
7,167,2026-02-07 05:15:07,OpenAI,gpt-5.2,high,72.0,100.0,9/9,100%,21477,81146,102623,1358348,0.0376,1.136,1.1736,181.91
8,167,2026-02-07 05:38:31,OpenAI,gpt-5.2,high,72.0,100.0,9/9,100%,21477,79560,101037,1325724,0.0376,1.1138,1.1514,178.47
9,167,2026-02-09 15:17:05,Gemini,gemini-3-pro-preview,default,79.0,100.0,9/9,100%,18210,74012,92222,727721,0.0364,0.8881,0.9246,143.31
10,167,2026-02-09 15:29:58,Gemini,gemini-3-pro-preview,default,81.0,100.0,9/9,100%,18210,79486,97696,846072,0.0364,0.9538,0.9903,153.49
11,167,2026-02-09 15:45:06,Gemini,gemini-3-pro-preview,default,82.0,100.0,9/9,100%,18210,84550,102760,847585,0.0364,1.0146,1.051,162.91
12,167,2026-02-09 15:59:58,Gemini,gemini-3-pro-preview,default,72.0,100.0,9/9,100%,18210,82096,100306,820151,0.0364,0.9852,1.0216,158.34
13,167,2026-02-09 16:14:24,Gemini,gemini-3-pro-preview,default,81.0,100.0,9/9,100%,18210,86025,104235,850785,0.0364,1.0323,1.0687,165.65
14,167,2026-02-09 16:29:19,Gemini,gemini-3-pro-preview,default,80.0,100.0,9/9,100%,18210,77604,95814,760812,0.0364,0.9312,0.9677,149.99
15,167,2026-02-09 16:42:45,Gemini,gemini-3-pro-preview,default,77.0,100.0,9/9,100%,18210,66768,84978,695917,0.0364,0.8012,0.8376,129.83
16,167,2026-02-09 16:54:28,Gemini,gemini-3-pro-preview,default,79.0,100.0,9/9,100%,18210,82538,100748,817512,0.0364,0.9905,1.0269,159.17
17,167,2026-02-20 22:04:45,Gemini,gemini-3.1-pro-preview,default,91.0,100.0,9/9,100%,18210,94683,112893,759709,0.0364,1.1362,1.1726,181.76
18,167,2026-02-20 22:14:28,Gemini,gemini-3.1-pro-preview,default,91.0,100.0,9/9,100%,18210,87863,106073,837991,0.0364,1.0544,1.0908,169.07
19,167,2026-02-20 22:18:17,Gemini,gemini-3.1-pro-preview,default,88.0,100.0,9/9,100%,18210,81265,99475,774890,0.0364,0.9752,1.0116,156.8
20,167,2026-02-20 22:23:13,Gemini,gemini-3.1-pro-preview,default,88.0,100.0,9/9,100%,18210,88802,107012,754768,0.0364,1.0656,1.102,170.82
21,167,2026-02-20 22:27:08,Gemini,gemini-3.1-pro-preview,default,86.0,100.0,9/9,100%,18210,82801,101011,700148,0.0364,0.9936,1.03,159.65
22,167,2026-02-20 22:30:55,Gemini,gemini-3.1-pro-preview,default,84.0,100.0,9/9,100%,18210,102191,120401,885629,0.0364,1.2263,1.2627,195.72
23,167,2026-02-20 22:35:47,Gemini,gemini-3.1-pro-preview,default,89.0,100.0,9/9,100%,18210,87380,105590,741370,0.0364,1.0486,1.085,168.17
24,167,2026-02-21 02:20:35,Gemini,gemini-3.1-pro-preview,high,86.0,100.0,9/9,100%,18201,79534,97735,775568,0.0364,0.9544,0.9908,153.58
25,167,2026-02-21 02:26:11,Gemini,gemini-3.1-pro-preview,high,83.0,100.0,9/9,100%,18201,106093,124294,943924,0.0364,1.2731,1.3095,202.98
26,167,2026-02-21 02:31:01,Gemini,gemini-3.1-pro-preview,high,90.0,100.0,9/9,100%,18201,80816,99017,804572,0.0364,0.9698,1.0062,155.96
27,167,2026-02-21 02:35:08,Gemini,gemini-3.1-pro-preview,high,88.0,100.0,9/9,100%,18201,87872,106073,882409,0.0364,1.0545,1.0909,169.08
28,167,2026-02-21 02:40:09,Gemini,gemini-3.1-pro-preview,high,90.0,100.0,9/9,100%,18201,72096,90297,724870,0.0364,0.8652,0.9016,139.74
29,167,2026-02-21 02:44:31,Gemini,gemini-3.1-pro-preview,high,85.0,100.0,9/9,100%,18201,94564,112765,865232,0.0364,1.1348,1.1712,181.53
30,167,2026-02-21 02:49:29,Gemini,gemini-3.1-pro-preview,high,88.0,100.0,9/9,100%,18201,81242,99443,808644,0.0364,0.9749,1.0113,156.75
31,167,2026-02-21 02:55:20,Gemini,gemini-3.1-pro-preview,high,87.0,100.0,9/9,100%,18201,78286,96487,905190,0.0364,0.9394,0.9758,151.25
-,-,-,1級合格者平均,-,-,75.7,-,-,-,-,-,-,-,-,-,-,9000.0
