l,volume,execution_time,provider,total_score,total_max_score,question_count,completeness,tac_id,model_id
1,10,2026-01-03 09:48:39,Gemini,98,100,14/14,100%,grade2_volume10,gemini-3-pro-preview
2,10,2026-01-03 09:48:39,OpenAI,18,100,14/14,100%,grade2_volume10,gpt-5.2
3,10,2026-01-03 10:04:13,Gemini,98,100,14/14,100%,grade2_volume10,gemini-3-pro-preview
4,10,2026-01-03 10:04:13,OpenAI,18,100,14/14,100%,grade2_volume10,gpt-5.2
5,10,2026-01-03 10:22:47,Gemini,90,100,14/14,100%,grade2_volume10,gemini-3-pro-preview
6,10,2026-01-03 10:22:47,OpenAI,24,100,14/14,100%,grade2_volume10,gpt-5.2
7,11,2026-01-03 08:32:54,Gemini,100,100,12/12,100%,grade2_volume11,gemini-3-pro-preview
8,11,2026-01-03 08:32:54,OpenAI,46,100,12/12,100%,grade2_volume11,gpt-5.2
9,11,2026-01-03 08:46:05,Gemini,100,100,12/12,100%,grade2_volume11,gemini-3-pro-preview
10,11,2026-01-03 08:46:05,OpenAI,52,100,12/12,100%,grade2_volume11,gpt-5.2
11,11,2026-01-03 09:37:46,Gemini,100,100,12/12,100%,grade2_volume11,gemini-3-pro-preview
12,11,2026-01-03 09:37:46,OpenAI,42,100,12/12,100%,grade2_volume11,gpt-5.2
13,12,2026-01-03 04:45:25,Gemini,96,100,14/14,100%,grade2_volume12,gemini-3-pro-preview
14,12,2026-01-03 04:45:25,OpenAI,32,100,14/14,100%,grade2_volume12,gpt-5.2
15,12,2026-01-03 04:57:25,Gemini,100,100,14/14,100%,grade2_volume12,gemini-3-pro-preview
16,12,2026-01-03 04:57:25,OpenAI,34,100,14/14,100%,grade2_volume12,gpt-5.2
17,12,2026-01-03 06:49:12,Gemini,100,100,14/14,100%,grade2_volume12,gemini-3-pro-preview
18,12,2026-01-03 06:49:12,OpenAI,32,100,14/14,100%,grade2_volume12,gpt-5.2
